fleet_no;cost_centre;reg_no;category;group;body_type;status;area_available
1234;IMPV01-FLT;KW11KCGP;4 TON;FAW 8.140 FL;Curtainside;;
1235;IMPV01-FLT;KS73BXGP;8 TON;FAW 15.180 FL;Curtainside;;
1236;IMPV01-FLT;KS66VCGP;8 TON;FAW 15.180 FL;Curtainside;;
1237;IMPV01-FLT;KS66VRGP;8 TON;FAW 15.180 FL;Curtainside;;
1238;IMPV01-FLT;KS66WJGP;8 TON;FAW 15.180 FL;Curtainside;;
1239;IMPV01-FLT;KT44JPGP;8 TON;FAW 15.180 FL;Curtainside;;
1240;IMPV01-FLT;KS66WYGP;8 TON;FAW 15.180 FL;Curtainside;;
1241;IMPV01-FLT;KS66XLGP;8 TON;FAW 15.180 FL;Curtainside;;
1242;IMPV01-FLT;KT44GVGP;14 TON;UD-CRONER;Curtainside;;
1243;IMPV01-FLT;KT44HNGP;14 TON;UD-CRONER;Curtainside;;
1244;IMPV01-FLT;KT44HKGP;14 TON;UD CRONER;Curtainside;;
1245;IMPV01-FLT;KT44HYGP;14 TON;UD CRONER;Curtainside;;
1246;IMPV01-FLT;KT44GYGP;14 TON;UD-CRONER;Curtainside;;
1247;RENT02-FLT;KT44JJGP;14 TON;UD CRONER;Curtainside;;
1248;IMPV01-FLT;KT44JBGP;14 TON;UD CRONER;Curtainside;;
1249;IMPV01-FLT;KT44JLGP;14 TON;UD CRONER;Curtainside;;
1250;IMPV01-FLT;KT60YHGP;14 TON;UD CRONER;Curtainside;;
1251;RENT01-FLT;KT60YJGP;14 TON;UD CRONER;Curtainside;;
1252;TAKV01-FLT;FD86WHGP;FRIDGE;TRI-AXLE;Fridge/Freezer;;
1253;RSTA01-FLT;KW13RFGP;BUS;VW-CRAFTER;Bus;;
1254;NUCV01-FLT;KY36PGGP;BUS;VW-CRAFTER;Bus;;
1255;NUCV01-FLT;KY36NZGP;BUS;VW-CRAFTER;Bus;;
1256;NUCV01-FLT;KY91WNGP;BUS;VW-CRAFTER;Bus;;
1257;NUCV01-FLT;KY93XNGP;BUS;VW-CRAFTER;Bus;;
1258;NUCV01-FLT;KY93XYGP;BUS;VW-CRAFTER;Bus;;
1259;TAKV01-FLT;KZ27LBGP;TRAILER;;Dryfreight;;
1260;TAKV01-FLT;KZ27KZGP;TRAILER;;Dryfreight;;
